Time,borFie.TBorAve
4.17294e+08,284.3654
4.172976e+08,284.3784
4.173012e+08,284.38788
4.173048e+08,284.39056
4.173084e+08,284.38458
4.17312e+08,284.37396
4.173156e+08,284.36264
4.173192e+08,284.35254
4.173228e+08,284.3442
4.173264e+08,284.33682
4.1733e+08,284.32965
4.173336e+08,284.32306
4.173372e+08,284.3189
4.173408e+08,284.3204
4.173444e+08,284.32874
4.17348e+08,284.34317
4.173516e+08,284.36002
4.173552e+08,284.37405
4.173588e+08,284.3837
4.173624e+08,284.39072
4.17366e+08,284.3953
4.173696e+08,284.39655
4.173732e+08,284.39355
4.173768e+08,284.3861
4.173804e+08,284.37592
4.17384e+08,284.3651
4.173876e+08,284.3554
4.173912e+08,284.34723
4.173948e+08,284.3396
4.173984e+08,284.3321
4.17402e+08,284.32394
4.174056e+08,284.31433
4.174092e+08,284.3042
4.174128e+08,284.29507
4.174164e+08,284.2857
4.1742e+08,284.27515
4.174236e+08,284.26855
4.174272e+08,284.27518
4.174308e+08,284.2939
4.174344e+08,284.31528
4.17438e+08,284.3377
4.174416e+08,284.35538
4.174452e+08,284.36884
4.174488e+08,284.3794
4.174524e+08,284.38797
4.17456e+08,284.39502
4.174596e+08,284.40024
4.174632e+08,284.3993
4.174668e+08,284.38623
4.174704e+08,284.3654
4.17474e+08,284.34512
4.174776e+08,284.3268
4.174812e+08,284.31046
4.174848e+08,284.296
4.174884e+08,284.2837
4.17492e+08,284.27344
4.174956e+08,284.264
4.174992e+08,284.25558
4.175028e+08,284.24844
4.175064e+08,284.24237
4.1751e+08,284.17297
4.175136e+08,284.07803
4.175172e+08,284.12186
4.175208e+08,284.17075
4.175244e+08,284.2008
4.17528e+08,284.23315
4.175316e+08,284.26746
4.175352e+08,284.29294
4.175388e+08,284.326
4.175424e+08,284.34872
4.17546e+08,284.351
4.175496e+08,284.33908
4.175532e+08,284.33368
4.175568e+08,284.3485
4.175604e+08,284.36044
4.17564e+08,284.3676
4.175676e+08,284.368
4.175712e+08,284.36337
4.175748e+08,284.3571
4.175784e+08,284.34982
4.17582e+08,284.3417
4.175856e+08,284.334
4.175892e+08,284.32794
4.175928e+08,284.32343
4.175964e+08,284.256
4.176e+08,284.16077
4.176036e+08,284.19543
4.176072e+08,284.22903
4.176108e+08,284.24673
4.176144e+08,284.27103
4.17618e+08,284.30502
4.176216e+08,284.33218
4.176252e+08,284.35754
4.176288e+08,284.36954
4.176324e+08,284.36786
4.17636e+08,284.35892
4.176396e+08,284.35654
4.176432e+08,284.36832
4.176468e+08,284.37787
4.176504e+08,284.38446
4.17654e+08,284.3865
4.176576e+08,284.38324
4.176612e+08,284.3777
4.176648e+08,284.37143
4.176684e+08,284.36505
4.17672e+08,284.35907
4.176756e+08,284.35318
4.176792e+08,284.34738
4.176828e+08,284.28006
4.176864e+08,284.18723
4.1769e+08,284.22226
4.176936e+08,284.2552
4.176972e+08,284.27444
4.177008e+08,284.29938
4.177044e+08,284.32962
4.17708e+08,284.35812
4.177116e+08,284.391
4.177152e+08,284.41296
4.177188e+08,284.41684
4.177224e+08,284.406
4.17726e+08,284.40002
4.177296e+08,284.40417
4.177332e+08,284.40817
4.177368e+08,284.4113
4.177404e+08,284.41296
4.17744e+08,284.41226
4.177476e+08,284.40958
4.177512e+08,284.40656
4.177548e+08,284.40457
4.177584e+08,284.40375
4.17762e+08,284.40347
4.177656e+08,284.4034
4.177692e+08,284.34396
4.177728e+08,284.25717
4.177764e+08,284.2871
4.1778e+08,284.3172
4.177836e+08,284.34952
4.177872e+08,284.39825
4.177908e+08,284.44138
4.177944e+08,284.47842
4.17798e+08,284.52817
4.178016e+08,284.5669
4.178052e+08,284.57477
4.178088e+08,284.55475
4.178124e+08,284.52896
4.17816e+08,284.5116
4.178196e+08,284.49997
4.178232e+08,284.492
4.178268e+08,284.4864
4.178304e+08,284.48233
4.17834e+08,284.47937
4.178376e+08,284.47717
4.178412e+08,284.47546
4.178448e+08,284.47406
4.178484e+08,284.47278
4.17852e+08,284.47134
4.178556e+08,284.41956
4.178592e+08,284.34402
4.178628e+08,284.36493
4.178664e+08,284.38486
4.1787e+08,284.40582
4.178736e+08,284.4428
4.178772e+08,284.4836
4.178808e+08,284.51993
4.178844e+08,284.56342
4.17888e+08,284.60043
4.178916e+08,284.61636
4.178952e+08,284.6004
4.178988e+08,284.56995
4.179024e+08,284.549
4.17906e+08,284.5348
4.179096e+08,284.5248
4.179132e+08,284.51752
4.179168e+08,284.51202
4.179204e+08,284.50778
4.17924e+08,284.50443
4.179276e+08,284.5017
4.179312e+08,284.49927
4.179348e+08,284.4967
4.179384e+08,284.49393
4.17942e+08,284.4911
4.179456e+08,284.48953
4.179492e+08,284.48978
4.179528e+08,284.48996
4.179564e+08,284.49
4.1796e+08,284.48993
4.179636e+08,284.48984
4.179672e+08,284.48975
4.179708e+08,284.48965
4.179744e+08,284.4896
4.17978e+08,284.48953
4.179816e+08,284.48947
4.179852e+08,284.48944
4.179888e+08,284.48944
4.179924e+08,284.48944
4.17996e+08,284.48947
4.179996e+08,284.4895
4.180032e+08,284.48956
4.180068e+08,284.48962
4.180104e+08,284.4897
4.18014e+08,284.48978
4.180176e+08,284.48987
4.180212e+08,284.48996
4.180248e+08,284.49005
4.180284e+08,284.49008
4.18032e+08,284.49017
4.180356e+08,284.49033
4.180392e+08,284.49048
4.180428e+08,284.49063
4.180464e+08,284.49078
4.1805e+08,284.49094
4.180536e+08,284.4911
4.180572e+08,284.49124
4.180608e+08,284.49142
4.180644e+08,284.49158
4.18068e+08,284.49173
4.180716e+08,284.49188
4.180752e+08,284.49203
4.180788e+08,284.4922
4.180824e+08,284.49237
4.18086e+08,284.49252
4.180896e+08,284.49268
4.180932e+08,284.49283
4.180968e+08,284.493
4.181004e+08,284.49316
4.18104e+08,284.49332
4.181076e+08,284.4935
4.181112e+08,284.49365
4.181148e+08,284.46957
4.181184e+08,284.43326
4.18122e+08,284.44345
4.181256e+08,284.45984
4.181292e+08,284.48196
4.181328e+08,284.50607
4.181364e+08,284.52606
4.1814e+08,284.53876
4.181436e+08,284.5581
4.181472e+08,284.57278
4.181508e+08,284.57312
4.181544e+08,284.559
4.18158e+08,284.54425
4.181616e+08,284.53485
4.181652e+08,284.52835
4.181688e+08,284.52368
4.181724e+08,284.52017
4.18176e+08,284.51746
4.181796e+08,284.51526
4.181832e+08,284.51346
4.181868e+08,284.5119
4.181904e+08,284.51035
4.18194e+08,284.50854
4.181976e+08,284.50626
4.182012e+08,284.45993
4.182048e+08,284.39456
4.182084e+08,284.41382
4.18212e+08,284.43204
4.182156e+08,284.45187
4.182192e+08,284.48035
4.182228e+08,284.50775
4.182264e+08,284.535
4.1823e+08,284.57526
4.182336e+08,284.5998
4.182372e+08,284.5908
4.182408e+08,284.5658
4.182444e+08,284.5487
